Patología,Medicamentos,Observaciones,Acciones
Dermatitis del pañal,"MG: Cambio frecuente de pañal. (*) Pomadas de Oxido de Zinc.  Uso cada 8 hrs, por 3-5 días. NC: Pasta lassar 500 gr crema tópica. Hipoglos, Nistaglos, Povin, Nenegloss. (ac) Betametasona 0.05% crema topica. Uso: cada 12 hrs por 3 días. Cetirizina 10 mg/5ml jarabe. DP: 6m-2a: 2.5mg dia. | 2a-5a: 5mg dia | +5a: 10 mg dia. Loratadina 5mg/5ml jarabe DP: 1-12 kg: 2.5 mg dia. |12-30 kg: 5 mg dia. | >30 kg: 10 mg día.","Lactantes o recién nacidos con placas eritematosas, pápulas y descamación, en relación al pañal, que respeta los pliegues, sin lesiones satélites. Pruriginosas.",
"Dermatitis Dishidrotica, Dishidrosis, Ponfolix","(*) Betametasona 0,05% topico.  Uso: cada 12 hrs. Clobetasol 0,05% topico.  Uso: cada 12 hrs. Cetirizina 10 mg.    DI: 10 mg al dia en caso de prurito. Loratadina 10 mg.   DI: 10 mg al dia en caso de prurito.","Eritema, muy pruriginoso, en pies o manos con vesículas tensas.",
"Dermatitis Seborreica del Adulto-Niño, Caspa","(*) Ketoconazol 2% Shampoo  NC: TKC, Biogel, Finder Shampoo, Medicasp (1%) (ac) Betametasona 0,05% topico. Uso: cada 12 hrs. Clotrimazol 1% crema.  Uso: cada 12 hrs al dia 1-14 dias. Ketoconazol 2% topico.  Uso: cada 12 hrs al dia 1-14 dias. Cetirizina 10 mg.    DI: 10 mg al dia en caso de prurito. Loratadina 10 mg.   DI: 10 mg al dia en caso de prurito.","% Hongo. Pityrosporum ovale. Escamas amarillas, eritema en placas descamativas. Cuero cabelludo, sin pasar linea del pelo, Nariz y entre ceja.",
Dermatitis Seborreica del Lactante,"MG: Observar, aseo frecuente, hipoalergénico. (*) Vaselina Liquida para remover. (ac) Aceite mineral.","% Hongo. Pityrosporum ovale. Escamas amarillas, eritema en placas descamativas. Cuero cabelludo, sin pasar linea del pelo, Nariz y entre ceja.",
Dermatomiositis,"(*) Prednisona 5-20 mg. DI: 1 comp diario VO. (ac) Azatioprina 50 mg. DI: 2 mg/kg/dia. Dividia en 3 tomas. (ac) Metotrexato 2.5 mg. DI: 2.5 mg 1 vez a la semana. DMax: 7.5 mg semanal. + Derivar a Medicina Interna. + Buscar cancer: Rx de tórax, TAC con cte, RNM tórax abdomen y pelvis. + Pedir: CK, Anticuerpo Anti- SRP, Mi2, Jo1.","% Autoinmune, 2rio por Sd. Paraneoplásico. Mialgia, debilidad proximal y elevación de CK (Creatinkinasa). Ademas de los signos cutaneos (+). (i) Rash cutáneos: Heliotropo (coloración lila de parados), Gottron (Pápulas violáceas descamativas en nudillos y articulaciones de dedos), Manto (Eritema en espalda y pecho como manto)",
Derrame pleural,Toracocentesis guiada con Ecografía: Puncionar y estudiar líquido pleural. - Cánula de plástico 16-18 G - Llave de 3 pasos - Jeringa de 5 cc - Aguja de 22-25 G para infiltración anestésico local. - Lidocaina 1% ampolla - (ac) Bupivacaina 0.25% ampolla - Guantes estériles - Bata estéril - Gorro - Mascarilla - Gafas protectoras. - Clorhexidina o Alcohol para asepsia local. - Campo estéril.,"Dg: Rx de Tórax, Curva de Damoiseau. (i) Todos se puncionan en 5-7º EIC Línea axilar posterior. *Excepto ICC < 1 cm. Post puncion: Rx de Torax de control, Cultivo, Citologico, LDH y Proteinas (Pleura y Plasma) ""Criterios de Ligth"". Cantidad: 10 - 60 ml para estudiar.",
Derrame pleural - Exudado MN,"Qx: Punción percutánea para biopsia pleural. Qx: Videotoracoscopia (VAT), si falla punción percutánea.","Pedir: Cultivo, Predominio PMN/MN, Ph, Lactato, Bacterias, ADA. En líquido pleural. - MN: TBC, AR, LES, Linfoma, Cáncer, Mesotelioma.",
Derrame pleural - Exudado PMN,(*) Ceftriaxona 1 gr EV o Cefazolina 1 gr EV. En caso de DPS. (ac) Clindamicina 600 mg/4ml IM-EV. Agregar en caso de Empiema. Qx: Toracostomía + Fibrinolíticos en tubo pleural. En caso de Empiema. Qx: Decorticar Adherencias por Videotoracoscopia. En caso de Adherencias en tubo pleural.,"Pedir: Cultivo, Predominio PMN o MN, Ph, Lactato, Bacterias, ADA. En líquido pleural. - PMN: Derrame paraneumónico simple (DPS) - complicado (Empiema) (i) DPS: pH > 7.2, Lactato < 5, Sin bacterias, Cultivo (-). (i) Empiema: pH < 7.2, Lactato > 5, Bacterias (+), Cultivo (+), ADA (>100)",
Derrame pleural - Trasudado,Tratar causa de base.,"% Insuficiencia cardiaca (ICC), Daño hepático crónico (DHC), Sd. Nefrótico, Desnutrición crónica. (i) ICC con < 1 cm no puncionar, se asume trasudado. 0/3: Criterio de Light.",
Deshidratacion - por Diarrea.,A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO. Domperidona 10 mg.    DI: 10 mg c 8 hrs por 3 días.   (en caso de vomito o nauseas) Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs.  DMx: 32mg/día  NC: Odanex Pargeverina 5 mg/ml EV. DI: 1 c 8 hrs EV. NC: Viadil EV.,(i) Plan ABC (peso). B: sintomático-signos clínicos. A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO.,
Deshidratacion leve - moderada.,"Sales de rehidratación oral sobres 250ml.    NC: TRO, SRO",Manejo ABC. A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO. C (Sev >10%) SF 0.9% 1000cc. DI: 20cc/kg BOLO EV,
Deshidratacion Severa + Hipernatremia (Na>145).,"(*) SGS 0,45% + Glucosa 2,5% EV (ac) S.Hipotonico 0,45% EV Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs.  DMx: 32mg/día  NC: Odanex Pargeverina 5 mg/ml EV. DI: 1 c 8 hrs EV. NC: Viadil EV. Qx: Denudación venosa (adultos) - Osteoclisis (niños): Solo si no hay via.",'+ Hipernatremia (Na>145).,
Deshidratación Severa (niños),(*) SF 0.9% 1000cc. DI: 20 cc /kg BOLO EV Qx: Osteoclisis (niños): Solo si no hay vía.,"C (Severa >10%- Shock- C. Conceiencia -Intolerancia Via Oral -Ileo Paralitico con distensión abdominal progresiva por 3er espacio). 1° se corrige la volemia con Solucion Fisiologica (SF), luego se corrigen los ELP (electrolitos plasmaticos), excepto en Hipernatremia (Na >145).",
Desorden disforico premenstrual,"Fluoxetina 20 mg capsula-comprimido.  DI: 20 mg dia, todos los dias. Acido Mefenamico 500 mg. DI: 500 mg c 6-8 hrs por 3 dias antes y despues de menstruación.",,
Desprendimiento de Retina (DR),"(i) Hacer fondo de Ojo. Derivar a Oftalmología. Qx Laser (inicial), Vitrectomia (avanzado)","Amaurosis en horas a días. Inicia con Fotopsias (destellos, luces), luego Entopsias (moscas o sombras), Caída de Telón - Alzada de muro (Amaurosis parcial, según desprendimiento). % Exudativo (Retinopatías crónicas DM2-HTA) % Traccional (Retinopatías con vasos de neoformación) % Regmatogeno (Traumatismo y Miopía) Defecto pupilar aferente relativo.",
Diabetes (DM1),"(*) Insulina Glargina SC (U.Lenta):  DI: 0.7-1 U/kg, 1 vez al dia   , NC: Lantus. (*) Insulina U. Rapida: pre comida DAC    (i) Glic pre/post (<100/<130) (ac) Insulina NPH SC AM-PM    DI: 0,7-1 U/kg. (2/3 preD - 1/3 pre C). (ac) Insulina Cristalina SC: pre comida DAC.  (i) Glic pre/post (<100/<130)","Dar Insulina esquema intensificado (I UL o NPH + I UR o IC). (i) Receta de: Jeringas Insulina (100 UI), Lanzetas y Cintas (HGtest) (i) Glic pre/post (<100/<130)",
Diabetes (DM2),"(*) Metformina 500mg - 850mg    DI: 500 mg al dia       DMx: 1gr c/8hrs = 3gr/dia. (ac) Glibenclamida 5 mg   DI: 5 mg al dia      DMx: 10 mg c/12 hrs = 20 mg/dia. (ac) Insulina NPH SC AM-PM  DI (PM): 10 UI sc.   DI: 0,7-1 U/kg. (2/3 preD - 1/3 pre C). (ac) Insulina Cristalina SC: pre comida DAOC (<100/<130) Sitagliptina 100 mg.    DI: 100mg dia.   NC: Januvia 100mg.  Janumet 50mg/1gr MTF.  (i) Gliptina en caso de RAM a GBC. Linagliptina 5 mg.    DI: 5 mg al dia.    NC: Trayenta.   (i) Gliptina en caso de RAM a GBC. Pioglitazona 15mg. DI: 15 mg al dia.  NC: Gliozac, Actos. (i) Glitazona en caso de RAM a MTF. Rosiglitazona 4mg. DI: 4 mg al dia. NC: Avandia. (i) Glitazona en caso de RAM a MTF.","(i) Receta de: Jeringas Insulina (100 UI), Lanzetas y Cintas (HGtest) (i) Gliptina en caso de RAM a GBC. (i) Glitazona en caso de RAM a MTF.",
Diabetes Gestacional,"(*) Insulina Glargina SC (U.Lenta):  DI: 0.7-1 U/kg, 1 vez al dia   , NC: Lantus. (*) Insulina U. Rapida: pre comida DAC    (i) Glic pre/post (70-90/90-120) (*) Acido Folico 4mg. DI: 4 mg al dia.  (i) en sanas 0.4 mg dia. Metformina 500mg - 850mg    DI: 500 mg al dia       DMx: 1gr c/8hrs = 3gr/dia. Glibenclamida 5 mg   DI: 5 mg al dia      DMx: 10 mg c/12 hrs = 20 mg/dia.","Antes de la insulina es dieta y ejercicio, con control c 2 sem. (Gl. Pre y post comida) (i) Glic pre/post (70-90/90-120) (i) Acido Folico en sanas: 0.4 mg dia",
Diabetes Pregestacional (DMPG),"(*) Insulina Glargina SC (U.Lenta):  DI: 0.7-1 U/kg, 1 vez al dia   , NC: Lantus. (*) Insulina U. Rapida: pre comida DAC    (i) Glic pre/post (70-90/90-120) (*) Acido Folico 4mg. DI: 4 mg al dia.  (i) en sanas 0.4 mg dia. Metformina 500mg - 850mg    DI: 500 mg al dia       DMx: 1gr c/8hrs = 3gr/dia. Glibenclamida 5 mg   DI: 5 mg al dia      DMx: 10 mg c/12 hrs = 20 mg/dia.","(i) HGO si se puede usar en embarazo. Antes de la insulina es dieta y ejercicio, con control c 2 sem (Gl. Pre y post comida) (i) Glic pre/post (70-90/90-120)",
Diarrea - Antidiarreico,(*) Loperamida 2mg.   DI: 2 mg c 8 hrs. (ac) Nifuroxazida/Atapulgita 200/350 mg .   DI: 1 c 8 hrs.   NC: Diaren,(i) Diarrea aguda no sirve.,
Diarrea aguda por Campilobacter,"(*) Eritromicina 500mg. DI: 500 mg c 6 hrs por 7 dias. SF 0.9% EV o SRO 250 ml, segun ABC Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs EV  DMx: 32mg/dia  NC: Odanex Pargeverina 5 mg/ml EV. DI: 1 c 8 hrs IM-EV. NC: Viadil EV.",A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO. C (Sev >10%) SF 0.9% 1000cc. DI: 20cc/kg BOLO EV,
Diarrea aguda por Shigella o E.Coli (ECEI),"(*) Ciprofloxacino 500mg. DI: 1 c 12 hrs VO por 3 dias. (ac) Ceftriaxona 1gr EV. DI: 1-2 gr c 12 hrs EV. (ac) Cefotaxima 1 gr EV.  DI: 1 gr cada 8 hrs EV. SF 0.9% EV o SRO 250 ml, segun ABC Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs EV  DMx: 32mg/dia  NC: Odanex Pargeverina 5 mg/ml EV. DI: 1 c 8 hrs IM-EV. NC: Viadil EV.",Disentería - Fiebre +2 días - Diarrea del viajero. A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO. C (Sev >10%) SF 0.9% 1000cc. DI: 20cc/kg BOLO EV,
Diarrea aguda por V. Colera,"(*) Azitromicina 500 mg. DI: 1 comp al dia, por 5 dias. SF 0.9% EV o SRO 250 ml, segun ABC Ondansetron 8mg/4ml EV     DI: 1 c 12 hrs EV  DMx: 32mg/dia  NC: Odanex Pargeverina 5 mg/ml EV. DI: 1 c 8 hrs IM-EV. NC: Viadil EV.",A (leve <5%) SRO 250ml o agua. DI: 100-200cc VO tras c/diarrea. B (Mod 5-10%) SRO 250ml . DI: 50-100cc/Kg en 4-6 horas LENTO VO. C (Sev >10%) SF 0.9% 1000cc. DI: 20cc/kg BOLO EV,
Diarrea cronica,"Buscar causa segun clinica y tratar. Colonoscopia + Endoscopia Digestiva alta. (EDA) Test de Sudan (grasa) Test de D-Xilosa (Absorción del intestino). Anticuerpos Anti-Transglutaminasa, Anti Endomisio PCR para Clostridium Difficile o Toxina A y B en deposición.","> 1 mes de duración. % Funcional - Colon irritable, EII: Crohn, Colitis ulcerosa, Cáncer de colon, Malabsorción (Celíaca), Clostridium Difficile.",
Diarrea cronica por Clostridium Difficile,(*) Metronidazol 500mg VO. DI: 500mg c 6 hrs por 7 dias. (ac) Vancomicina 500 mg EV. DI: 15-30mg/k/dia c 12 hrs.,"(i) Pedir PCR Clost. Difficile (sino, pedir: toxina A y B). Antecedente de uso ATB. Para tto usar Metronidazol, si falla, repetir Metronidazol y si falla nuevamente, aplicar Vancomicina y evaluar con clínica! No evaluar con PCR o Toxina (se mantiene positivas)",
Diarrea por Giardiasis (Parásitos) - Desparasitar,"(*) Tinidazol 1 gr. DI: 2gr al dia por 3 dias. DP: 60mg/kg/Dosis Unica x 1 dia VO. (ac) Metronidazol 500 mg. DI: 500mg c 8 hrs VO x 5-7 dias, o 2 gr/dia x 3 dias. (ac) Metronidazol 250mg/5ml jarabe. DP: 5mg/kg/dia c 8 hrs por 5 dias",(i) Pedir Parasitologico deposiciones.,
Diarrea prolongada,Buscar agente infeccioso: - Coprocultivo - Rotatest - Parasitológico,> 2 semanas - < 1 mes.,
Dificultad o trastorno del lenguaje y / habla - TEL,IC a Fonoaudiología. IC a Psicopedagogía o Psicología.,"(i) Sobre los 4 años, según el nivel de compromiso. Dislexia: Dificultad del aprendizaje al leer, confunde letras. Disgrafia: Dificultad del aprendizaje al escribir. Dislalia: Pronuncia mal las palabras con S-RR-L-D Disfemia: Tartamudez, espasmo o repeticiones al hablar. Disartria: alteración en articulación del lenguaje. Disglosia: alteración en pronunciación por lesiones o malformación. Farfulleo o habla taquilálica: Consiste en un habla precipitado.",
Difteria - ENO,Hospitalizar Notificar ENO. IC a Cirugía – Otorrinolaringólogo ORL. (*) Antitoxina difteria EV. (*) Penicilina Benzatina 1.200.000 UI. DI: 1.2M UI IM por 1 vez. DP: menos de 30 Kg: 600.000 UI IM por 1 vez. (ac) Azitromicina 500 mg. DI: 500 mg al día VO por 5 días. (ac) Azitromicina 200mg/5ml jarabe. DP: 10mg/kg/dia 1 vez por 5 días. Eritromicina 500 mg comprimidos. DI: 500 mg c 6 hrs VO por 10 dias. Eritromicina 250mg/5ml jarabe: DP: 50 mg/kg/dia c 6 hrs VO por 10 dias. (*) Qx: Remover pseudomembranas.,"% Corynebacterium Diptheriae. (Erradicada en Chile por vacunación Hexavalente-Dtp). Clinica: Psudomembranas blancas en faringe y amígdalas, odinofagia, edema cervical “cuello de toro”. (i) Complicaciones: Miocarditis, Necrosis tubular aguda NTA, muerte.",
Diseccion Carotidea,Pedir Eco Doppler carotideo y vertebral TAC de Cráneo sin contraste. IC a Neurología.,"Antecedente de elongación hiper flexión/extensión de cuello (Karate, Yoga, TEC), Dolor intenso en cuello, Cefalea intensa en trueno aguda (Thunderclap), Focalidad ACA-ACM: paralisis, Hemiparesia facio- braquio-crual, desorientacion, mutismo aquinetico, Afasia.",
Diseccion Vertebro basilar,Pedir Eco Doppler carotideo y vertebral. TAC de Cráneo sin contraste. IC a Neurología.,"Antecedente de elongacion de cuello, dolor agudo en cuello, Cefalea ictal aguda, focalidad ACP-AVB: Hemihipoestesia, hemiparesia, defecto campo visual, estrabismo agudo, vertigo agudo, ataxia, disfagia.",
Disfagia,"Endoscopia digestiva alta (EDA) + Endosonografía TAC cervical Test de deglución. Tratar la causa, Dieta, Sonda nasogástrica (Cáncer esofágico - post ACV)","% Cancer de esofago, Acalasia - Esclerodermia (CREST), Cuerpo extraño, Divertículo esofágico superior o de Zenker e inferior, Post ACV, Candidiasis esofágica. Antecedentes: Tabaco, RGE, VPH, NAC aspirativa. Lógica: Líquidos, luego Sólidos. (Cuerpo extraños, Divertículos, Cáncer) Ilógica: Sólidos, luego Líquidos (Trastorno motores, Espasmo)",
Disfonia cronica,(*) Nasofibroscopia NFC,"% Cancer de laringe. Alteración en fonación por mas de 21 dias, sin foco infeccioso que lo explique.",
Dislipidemia - Hipertrigliceridemia,"(*) Gemfibrozilo 600-900 mg. DI: 600 mg c 12hrs, 30m antes de Des-Cena.  DMx 1500 mg dia. (ac) Ciprofibrato 100 mg. DI: 100 mg al dia. Insulina NPH","(i) +500 riesgo de Pancreatitis aguda. Trigliceridos sobre 150 1° modificar estilo de vida con medidas generales >> Control en 1 mes Medidas generales: No fumar, alimentación sana, actividad física, bajar de peso. Pedir: Perfil lipídico, Perfil tiroideo (TSH, T4L),",
Dislipidemia- Colesterol alto,(*) Atorvastatina 10-20-40-80 mg.   DI: 10-20 mg al dia.   DMx: 80 mg dia.  NC: Lipox 10 mg (ac) Rosuvastatina 5-10-20 mg.  DI: 5-10 mg al dia.   DMx: 40 mg dia  NC: Rosvel 10 mg,"Colesterol alto o HDL bajo. Col total > 200 mg/dl Col LDL > 100 , > 70 si tiene FRCV Col VLDL > 30 mg/dl Col HDL < 50 mujeres, < 40 hombres. 1° modificar estilo de vida con medidas generales >> Control en 1 mes Medidas generales: No fumar, alimentación sana, actividad física, bajar de peso. Pedir: Perfil lipídico, Perfil tiroideo (TSH, T4L),",
Disminucion de libido sexual o deseo sexual,Buscar y tratar según causa. + Derivar a Terapia psicológica.,"% Estrés, Depresión, medicamentos. % Hipogonadismo - Hiperprolactinemia. (i) Descartar uso de Antidepresivo (Fluoxetina, Sertralina).",
Dispareunia Profunda,"Buscar causa y tratar. + Derivar a Ginecología, pedir Especuloscopia y Ecografía transvaginal (Eco TV).","% Endometriosis, Proceso inflamatorio pélvico (PIP), Cáncer Cuello uterino (CaCu), Sequedad vaginal (postmenopáusica). Dolor profundo durante la relación sexual o coito.",
Dispareunia superficial - Vaginismo.,"Descartar causa psicológica (violación, trauma, etc) Descartar causa orgánica y dispareunia profunda. + Derivar a Ginecología para Especuloscopia, Ecografía transvaginal. + Derivar a Psicología para manejo de causa.",% Contracción tónica de músculos de la vagina. Dolor durante relaciones sexuales o coito. (i) Descartar dispareunia profunda.,
Dispepsia funcional,"(*) Omeprazol 20 mg.  DI: 1 comprimido al día, 30 min antes de comer. MG: Evitar tabaco, AINEs, Alimentos condimentados, Alcohol. Manejo de estrés y ansiedad. interconsulta: Nutricionista, Psicología. Evaluar Erradicación de H.Pylori segun antecedentes.","Dolor epigástrico de tipo urente, con Endoscopia digestiva alta: Normal. Dg: EDA, descarta.",
Disquinesias tardias,Suspender fármaco IC a Neurología.,"% Genética, Uso de Antipsicótico crónico. Rumiacion o Movimientos reptantes de boca y lengua, aparece post tratamiento cronico con antipsicoticos. Mal pronostico, no mejora.",
Distonia de la mano - Espasmo del escribiente,"MG: No escribir a mano, cambiar a computador. Calor local, masaje. IC a Kinesiología motora. (*) Ciclobenzaprina 10 mg. DI: 5-10mg c 12 hrs - DMx: 10 mg c 8 hrs (*) Ketorolaco 10 mg. DI: 10 mg c/8 hrs Naproxeno 550 mg. DI: 550 mg cada 8 horas. Ketorolaco 30mg/1ml EV. DI: 1 c 8 hrs. Dmx: 120 mg dia. Lorazepam 2-4m/ml ampolla. DI: 4mg EV SOS.","% Causa local motora, no es extrapiramidal. Contractura muscular en la mano, hipertonia o Distonia en mano. Refiere que escribe o trabaja con la mano.",
Distonia por farmacos,"(*) Suspender o bajar dosis de farmaco que lo produce. (*) Diazepam 10 mg/2ml ampolla. DI: 10 mg IM o EV, seguido de 5mg EV en 3-4 hrs. (RR) (*) Lorazepam 2-4mg/ml ampolla. DI: 4mg EV.","Antipsicoticos al iniciar o subir dosis; Risperidona, Haloperidol, Quetiapina.",
Divertículo esofágico - Zenker o Superior,Qx: Diverticulectomía EES + Esfinterotomía EES,"Disfagia alta fluctuante, Halitosis, NAC aspirativas. (i) Dg: Radiografía cervical con bario (baritada). TAC cervical. Diverticulos: Esfinter esofgafico superior (Zenker), Cuerpo Esofagico (asintomatico), EII (disfagia baja).",
Dolor Cólico - Antiespasmódico,"Pargeverina gotas.   DI: 30-40 gotas c/8 hrs.  DP: 4 gotas/edad (2-12a) c8 hrs VO. Pargeverina 5mg/ml EV-IM.  DI: 1-2 c 8 hrs. NC: Viadil compuesto. Pargeverina/Metamizol 5mg/2gr 5ml EV. DI: 1 c/8 hrs.  NC: Viadil compuesto. Pargeverina/Metamizol gotas VO, 5mg/300mg ml(1ml = 24 gotas)",,
Dolor testicular cronico,Manejo según causa.,"% Orquialgia crónica benigna, causa más frecuente, con examen físico normal. % Varicocele, Epididimitis crónica, Quiste epididimo, Tumor testicular o epidídimo, Espermatocele. Pedir Ecografía testicular o Doppler testicular en caso de Examen físico anormal y segun sospecha.",
Donovanosis - Granuloma inguinal - Granuloma venereo,"Doxiciclina 100 mg comprimidos. DI: 100 mg cada 12 hrs por 4 semanas. Azitromicina 500 mg comprimidos. DI: 500 mg diario por 3 semanas. Eritromicina 500 mg comprimidos. DI: 500 mg cada 8 horas por 3 semanas, (i) en Embarazadas.","% Klebsiella granulomatis, coco Gram (-) Intracelular. Pedir: PCR o Tincion de Geimsa: Cuerpos de Donovan + al microscopio (cocobacilo dentro de macrofago) ETS ulceras crónicas genito - anal. Indolora, bordes elevados, fondo limpio, es progresiva, asociada a Adenopatia inguinal no dolorosas.",
Edema pulmonar agudo - EPA - Hipotenso,"MG: Posición sedestación, piernas colgando. Vias Venosas permeables x 2. Oxígeno alto flujo mascarilla con reservorio, Solo si Sat < 93% Evaluar VM - TOT Monitoreo Continuo: ECG, PA, SatO2. Sonda Foley para medir diuresis + Balance hídrico. Furosemida 20 mg EV. DI: 1 mg/kg Bolo EV. Noradrenalina 0.05 mcg/kg/min. DI: 6 mll/hr BIC EV. Dmx: 0,5 mcg/kg/min. Dopamina 5 mcg/kg/min. DI: 30ml/hr, hasta PAS >90 mmHg o Diuresis > 35 ml/hr. DMx: 20 mcg/kg/min + Pedir ELP diarios, ECG, GSA, Hematológico, bioquímico, BNP- ProBNP. + Ecocardiograma una vez estabilizado.","(i) No dar Nitroglicerina, ni Morfina. (i) Cuidado con Furosemida. % Cardiogénico (PCP >18 mmHg: ICC, IAM, FA) vs No cardiogénico (PCP< 18: Sepsis, SDRA, Pancreatitis, TEP, Quemadura). Dg: Rx de Tórax AP- Lat: Infiltrado Alveolo Intersticial, difuso bilateral. Lineas B Kerley. (i) VMI: Hipoxemia progresiva a pesar de administrar O2, Acidosis Respiratoria Progresiva (PaCO2 > 50, pH < 7.2), Fatiga respiratoria > 40 rmp.",
Edema pulmonar agudo - EPA - Normo/Hipertenso,"(*) MG: Posición sedestación, piernas colgando. Vias Venosas permeables x 2. Oxígeno alto flujo mascarilla con reservorio, Solo si Sat < 93% Nitroglicerina 0.6 mg SL comprimido. Nitroglicerina 5 mg EV. DI: 0.5-2 mcg/Kg/min BIC. (*) Furosemida 20 mg EV. DI: 1 mg/kg Bolo EV o 100 - 200 mg Bolo EV. Morfina 10 mg/ml EV. DI: 3-5 mg EV lento (2-3 min). DMx: 15 mg/día. Captopril 25 mg SL DI: 1 comprimido SL, Solo si Hipertenso o Crisis HTA. + Hospitalizar con Monitoreo Continuo: ECG, PA, SatO2. + Evaluar VMI + Sonda Foley para medir diuresis + Balance hídrico. + Furosemida 20 mg EV, cada 6 hrs para diuresis de 100 ml/hr. + Captopril 25 mg SL, si mantiene PAD > 110. + Pedir ELP diarios, ECG, GSA, Hematológico, bioquímico, BNP- ProBNP. + Ecocardiograma una vez estabilizado.","% Cardiogénico (PCP >18 mmHg: ICC, IAM, FA) vs No cardiogénico (PCP< 18: Sepsis, SDRA, Pancreatitis, TEP, Quemadura). Según presión capilar pulmonar. Dg: Rx de Tórax AP- Lat: Infiltrado Alveolo Intersticial, difuso bilateral. Lineas B Kerley. (i) Nunca dar en Hipotenso: Furosemida ni Morfina. Dar DVA y soporte O2. (i) En crisis HTA usar dosis altas de Furosemida. (i) VMI: Hipoxemia progresiva a pesar de administrar O2, Acidosis Respiratoria Progresiva (PaCO2 > 50, pH < 7.2), Fatiga respiratoria > 40 rmp.",
Embolia mesenterica,"(*) Heparina 5.000 UI (ante la sospecha).  DI: 80 UI/Kg Bolo EV. BIC: 18 UI/kg/h EV. (*) Alteplase (rTPA) 10 UI.  DI: 10 UI Bolo EV. Tenecteplase EV SF 0.9% 1000 cc EV Ceftriaxona 1 gr EV  DI: 1-2gr c 12h EV. Metronidazol 500 mg/100 ml EV. DI: 500mg c 12h EV. (ac) Qx: Embolectomía, en caso de Perforación o Necrosis. + Interconsulta urgente a Cirugia. + Pedir TTPA basal y cada 4 hrs.","% Arterial: Coagulopatía, Fibrilación Auricular, Arritmias. (i) Dg: Angio TAC- RNM o Angiografía de abdomen. Dolor abdominal súbito, muy intenso, sin signos peritoneales al inicio. Aumento de RHA, vómitos, diarrea. Tardíamente con Hematoquezia, disminución de RHA y signos peritoneales. (i) Heparina EV ante la sospecha: Bolo EV, seguido de 24 a 32.000 UI/24h en BIC ajustada según TTPA. (Llevar a 1,5 el basal).",
Encefalopatia hepatica - DHC,(*) Lactulosa jarabe. DI: 15 cc cada 8 hrs para 2-3 dep blandas al día. Qx: Trasplante hepático. (i) Buscar causa y tratar.,"Dg: Clínico: Desorientación, Compromiso de Conciencia, Asterixis. % infecciones (ITU, PBE, NAC, etc) (i) Tóxico cerebral: Amoniaco. Buscar descompensante: Está contraindicado el TIPS.",
Encefalopatia hepatica Grados,"G 1 - Euforia/depresión, Confusión ligera, Alteraciones en el sueño, Discurso alterado. Asterixis: Si/No G 2 - Letargia, Confusión moderada. Asterixis: Si, G 3 - Incoherente, Confusión marcada, Durmiendo pero despertable. Asterixis: Si. G 4 - Coma. Asterixis: No.",A- Encefalopatía en el contexto de fallo hepático agudo B- Encefalopatía en el contexto de pontaje portosistémico (sin afectacion hepatocelular intrinseca) C- Encefalopatía asociada a cirrosis e HTportal o shunt sistémico.,
Endoftalmitis - Hipopión masivo,"(i) Derivar a Oftalmólogo urgente, con: Vías endovenosas Ketorolaco 30mg/1ml ampolla. DP: 0.2mg/kg/dosis c 6-8 hrs EV-IM. DI: 30 mg c 8 hrs. Dmx: 120 mg dia. Diclofenaco 75 mg/3ml EV-IM NC: Lertus Tramadol 100 mg/ml gotas. DI: 5-15 gotas c 8 hrs. Cloxacilina 500mg polvo IM-EV. DI: 500mg-1gr c 8 hrs. Cefazolina 1 gr EV DI: 500mg-1gr c 12 hrs. DMx: 6gr dia. Vancomicina 500 mg EV. DI: 15-30mg/k/dia c 12 hrs Manejo final con ATB intraocular por Oftalmólogo.","Infección grave ocular: Derivar urgente a Oftalmólogo para ATB intraocular. Ojo rojo profundo, Hipopión masivo, Quemosis, dolor ocular, disminución agudeza visual. % Post cirugía ocular (Qx catarata), 2rio a infección superficial (conjuntivitis bacteriana, uveítis)",
